Summoner,Tier,Division,PUUID,MATCHID
kaél,PLATINUM,III,mwZloAikYtDrzQTYiRqk-UsSVAdEaeL7aEDcaWpG6EtpO3eSUp_0BDhIEUbXMDLry8K-KX6vsl4HSQ,[...]
jisig,PLATINUM,III,QkHtKN1SIOm7s8t1yo0D5ml0eQyitS_tWlWN3Y1xDc4FyVtGAcc7m9DypMA3dva0zm5JvdqZRN_bxg,[...]
dogmoan,PLATINUM,III,kPUN4efAPuY0DVdaYKqEiEn8RUDCPCtlSC6CU_APHCiK2kYEfkfuc3QfaC6tHNODAMQb-axYea75KQ,[...]
boostedaxton,PLATINUM,III,EM4QWjkDXMspu_LOqkw3PtbjIU50Rp-ZYeHudRC3euh1mwGaxjYdfogD9pMw5dglkC973miZRfS8Sw,[...]
baguettelucifer,PLATINUM,III,HOFzeZni4U9Jv0wE_M15QMtbvuO_QxgHMqdfC-n9XacNSBNMScQqbOVd5azEhDbQ9HD32nehJsJG8A,[...]
imalno,PLATINUM,III,oXuNrIRLuz3bCEkgQdoWTPhzaiw8zZw4gRqf4bRCduvVS5o2Djcah9Je3pqfeZ8kdCqq1Q2cts2HMQ,[...]
guilhas72,PLATINUM,III,FXZ0lJyDLNPqlxo5uSpwq5o63exiQHVP6WWgpP3Rv4rVVqxMKD1rQLmwZ7EeIjvDJ9juikEjoWm-aQ,[...]
bowaq,PLATINUM,III,wEcz-zfEGzqL7q090GB2JY6df-9-md4jv5N6gANiK5aua30eEs_gAJq3C8ytzB1e_gbVpnodhMo3Bg,[...]
commandoscorpio,PLATINUM,III,8i7HAerTpKgZc_bhB_3RBQEY4wrF7SWuOu6TIWecHKYc99t8nsiOnx8Yz7VEjXw2ljGUwoK_0Fqzpw,[...]
7ping,PLATINUM,III,pqzoq2Yezl84ll95LTPMrH5LgHElnUM6670Qzs-WUHHER4QSKM74M8unux5TvykC_hStkst1oNcgZA,[...]
pibabdekebza,PLATINUM,III,6FzHWLJgRbxU2iPA5M5pFvnzfodGvbR-0icUf2M3mIiiw8p1bG_XOeL9XMB660be4kIRPPXJCRTo_Q,[...]
dontbezilly,PLATINUM,III,DXlUzXqNxn3lLuRbRktLOQYI44zSJyTDWa9t23h80DqatSDfAJvqODHiFfWxP6uYMn9CEopas6Wx3g,[...]
ahwì,PLATINUM,III,mWArkxGQJtw46HFOlaa1GAwFlguVUR5qPzA5s-C_OvlwQzCOadoJdeTMRhS7YSV8eSt3Pmk5pWYqYA,[...]
